Date,Spot,Index
04-Jun-10,7916.76,FMCG
04-Jun-10,17.994,GoldBees
04-Jun-10,3280,Infra
04-Jun-10,5884.3,IT
04-Jun-10,10921.8,Nifty Next 50
04-Jun-10,1616.55,Media
04-Jun-10,4014.66,Metal
04-Jun-10,7890.25,Mid Cap
04-Jun-10,2691.2,Mid Cap 50
04-Jun-10,5135.5,Nifty
04-Jun-10,5105.1,Nifty 100
04-Jun-10,2695.14,Nifty 200
04-Jun-10,4263.45,Nifty 500
04-Jun-10,6870.65,Nifty EQW
04-Jun-10,6391.73,Nifty TRI
04-Jun-10,4113.79,Pharma
04-Jun-10,401.44,Realty
04-Jun-10,3540.99,Small Cap
04-Jun-10,25.02,VIX
11-Jun-10,3343.33,Auto
11-Jun-10,9451.75,Bank
11-Jun-10,9152.17,Energy
11-Jun-10,3876.52,Finance
11-Jun-10,7857.08,FMCG
11-Jun-10,18.3255,GoldBees
11-Jun-10,3266.29,Infra
11-Jun-10,5739.25,IT
11-Jun-10,10914,Nifty Next 50
11-Jun-10,1620.25,Media
11-Jun-10,3967.19,Metal
11-Jun-10,7892.3,Mid Cap
11-Jun-10,2682.2,Mid Cap 50
11-Jun-10,5119.35,Nifty
11-Jun-10,5091.1,Nifty 100
11-Jun-10,2690.45,Nifty 200
11-Jun-10,4247.25,Nifty 500
11-Jun-10,6839.83,Nifty EQW
11-Jun-10,6388.96,Nifty TRI
11-Jun-10,4166.07,Pharma
11-Jun-10,385.19,Realty
11-Jun-10,3542.59,Small Cap
11-Jun-10,25.06,VIX
18-Jun-10,3394.27,Auto
18-Jun-10,9576.25,Bank
18-Jun-10,9242.2,Energy
18-Jun-10,3934.18,Finance
18-Jun-10,8077.72,FMCG
18-Jun-10,18.415,GoldBees
18-Jun-10,3353.56,Infra
18-Jun-10,6006.95,IT
18-Jun-10,11020.65,Nifty Next 50
18-Jun-10,1626.68,Media
18-Jun-10,4054.95,Metal
18-Jun-10,7991.75,Mid Cap
18-Jun-10,2718.65,Mid Cap 50
18-Jun-10,5262.6,Nifty
18-Jun-10,5218.45,Nifty 100
18-Jun-10,2752.17,Nifty 200
18-Jun-10,4328.65,Nifty 500
18-Jun-10,7010.76,Nifty EQW
18-Jun-10,6571.38,Nifty TRI
18-Jun-10,4184.72,Pharma
18-Jun-10,401,Realty
18-Jun-10,3616.24,Small Cap
18-Jun-10,20.52,VIX
25-Jun-10,3435.58,Auto
25-Jun-10,9451.1,Bank
25-Jun-10,9497.67,Energy
25-Jun-10,3901.38,Finance
25-Jun-10,8307.73,FMCG
25-Jun-10,18.502,GoldBees
25-Jun-10,3351.17,Infra
25-Jun-10,5921.75,IT
25-Jun-10,11180.3,Nifty Next 50
25-Jun-10,1625.95,Media
25-Jun-10,4038.07,Metal
25-Jun-10,8061.7,Mid Cap
25-Jun-10,2744.25,Mid Cap 50
25-Jun-10,5269.05,Nifty
25-Jun-10,5236,Nifty 100
25-Jun-10,2764.83,Nifty 200
25-Jun-10,4365.85,Nifty 500
25-Jun-10,7069.09,Nifty EQW
25-Jun-10,6579.46,Nifty TRI
25-Jun-10,4314.17,Pharma
25-Jun-10,411.28,Realty
25-Jun-10,3665.39,Small Cap
25-Jun-10,20.19,VIX
02-Jul-10,3436.54,Auto
02-Jul-10,9357.15,Bank
02-Jul-10,9672.62,Energy
02-Jul-10,3874.32,Finance
02-Jul-10,8343.26,FMCG
02-Jul-10,18.1075,GoldBees
02-Jul-10,3377.46,Infra
02-Jul-10,5836.3,IT
02-Jul-10,11239.95,Nifty Next 50
02-Jul-10,1669.06,Media
02-Jul-10,3925.65,Metal
02-Jul-10,8091.15,Mid Cap
02-Jul-10,2738.75,Mid Cap 50
02-Jul-10,5237.1,Nifty
02-Jul-10,5213.9,Nifty 100
02-Jul-10,2757.93,Nifty 200
02-Jul-10,4382.55,Nifty 500
02-Jul-10,7041.12,Nifty EQW
02-Jul-10,6542.72,Nifty TRI
02-Jul-10,4261.02,Pharma
02-Jul-10,408.75,Realty
02-Jul-10,3712.53,Small Cap
02-Jul-10,21.89,VIX
09-Jul-10,3513.55,Auto
09-Jul-10,9713.7,Bank
09-Jul-10,9616.14,Energy
09-Jul-10,4000.28,Finance
09-Jul-10,8362.69,FMCG
09-Jul-10,17.9425,GoldBees
09-Jul-10,3458.09,Infra
09-Jul-10,6108.4,IT
